Time,Toy_Switch,Child_EG,Parent_EG
00:00.0,,,
00:00.0,,,
00:00.1,,,
00:00.1,,,
00:00.1,,,
00:00.2,,,
00:00.2,,,
00:00.2,,,
00:00.3,,,
00:00.3,,,
00:00.3,,,
00:00.4,,,
00:00.4,,,
00:00.4,,,
00:00.5,,,
00:00.5,,,
00:00.5,,,
00:00.6,,,
00:00.6,,,
00:00.6,,,
00:00.7,,,
00:00.7,,,
00:00.7,,,
00:00.8,,,
00:00.8,,,
00:00.8,,,
00:00.9,,,
00:00.9,,,
00:00.9,,,
00:01.0,,,
00:01.0,,,
00:01.0,,,
00:01.1,,,
00:01.1,,,
00:01.1,,,
00:01.2,,,
00:01.2,,,
00:01.2,,,
00:01.3,,,
00:01.3,,,
00:01.3,,,
00:01.4,,,
00:01.4,,,
00:01.4,,,
00:01.5,,,
00:01.5,,,
00:01.5,,,
00:01.6,,,
00:01.6,,,
00:01.6,,,
00:01.7,,,
00:01.7,,,
00:01.7,,,
00:01.8,,,
00:01.8,,,
00:01.8,,,
00:01.9,,,
00:01.9,,,
00:01.9,,,
00:02.0,,,
00:02.0,,,
00:02.0,,,
00:02.1,,,
00:02.1,,,
00:02.1,,,
00:02.2,,,
00:02.2,,,
00:02.2,,,
00:02.3,,,
00:02.3,,,
00:02.3,,,
00:02.4,,,
00:02.4,,,
00:02.4,,,
00:02.5,,,
00:02.5,,,
00:02.5,,,
00:02.6,,,
00:02.6,,,
00:02.6,,,
00:02.7,,,
00:02.7,,,
00:02.7,,,
00:02.8,,,
00:02.8,,,
00:02.8,,,
00:02.9,,,
00:02.9,,,
00:02.9,,,
00:03.0,,,
00:03.0,,,
00:03.0,,,
00:03.1,,,
00:03.1,,,
00:03.1,,,
00:03.2,,,
00:03.2,,,
00:03.2,,,
00:03.3,,,
00:03.3,,,
00:03.3,,,
00:03.4,,,
00:03.4,,,
00:03.4,,,
00:03.5,,,
00:03.5,,,
00:03.5,,,
00:03.6,,,
00:03.6,,,
00:03.6,,,
00:03.7,,,
00:03.7,,,
00:03.7,,,
00:03.8,,,
00:03.8,,,
00:03.8,,,
00:03.9,,,
00:03.9,,,
00:03.9,,,
00:04.0,,,
00:04.0,,,
00:04.0,,,
00:04.1,,,
00:04.1,,,
00:04.1,,,
00:04.2,,,
00:04.2,,,
00:04.2,,,
00:04.3,,,
00:04.3,,,
00:04.3,,,
00:04.4,,,
00:04.4,,,
00:04.4,,,
00:04.5,,,
00:04.5,,,
00:04.5,,,
00:04.6,,,
00:04.6,,,
00:04.6,,,
00:04.7,,,
00:04.7,,,
00:04.7,,,
00:04.8,,,
00:04.8,,,
00:04.8,,,
00:04.9,,,
00:04.9,,,
00:04.9,,,
00:05.0,,,
00:05.0,,,
00:05.0,,,
00:05.1,,,
00:05.1,,,
00:05.1,,,
00:05.2,,,
00:05.2,,,
00:05.2,,,
00:05.3,,,
00:05.3,,,
00:05.3,,,
00:05.4,,,
00:05.4,,,
00:05.4,,,
00:05.5,,,
00:05.5,,,
00:05.5,,,
00:05.6,,,
00:05.6,,,
00:05.6,,,
00:05.7,,,
00:05.7,,,
00:05.7,,,
00:05.8,,,
00:05.8,,,
00:05.8,,,
00:05.9,,,
00:05.9,,,
00:05.9,,,
00:06.0,,,
00:06.0,,,
00:06.0,,,
00:06.1,,,
00:06.1,,,
00:06.1,,,
00:06.2,,,
00:06.2,,,
00:06.2,,,
00:06.3,,,
00:06.3,,,
00:06.3,,,
00:06.4,,,
00:06.4,,,
00:06.4,,,
00:06.5,,,
00:06.5,,,
00:06.5,,,
00:06.6,,,
00:06.6,,,
00:06.6,,,
00:06.7,,,
00:06.7,,,
00:06.7,,,
00:06.8,,,
00:06.8,,,
00:06.8,,,
00:06.9,,,
00:06.9,,,
00:06.9,,,
00:07.0,,,
00:07.0,,,
00:07.0,,,
00:07.1,,,
00:07.1,,,
00:07.1,,,
00:07.2,,,
00:07.2,,,
00:07.2,,,
00:07.3,,,
00:07.3,,,
00:07.3,,,
00:07.4,,,
00:07.4,,,
00:07.4,,,
00:07.5,,,
00:07.5,,,
00:07.5,,,
00:07.6,,,
00:07.6,,,
00:07.6,,,
00:07.7,,,
00:07.7,,,
00:07.7,,,
00:07.8,,,
00:07.8,,,
00:07.8,,,
00:07.9,,,
00:07.9,,,
00:07.9,,,
00:08.0,,,
00:08.0,,,
00:08.0,,,
00:08.1,,,
00:08.1,,,
00:08.1,,,
00:08.2,,,
00:08.2,,,
00:08.2,,,
00:08.3,,,
00:08.3,,,
00:08.3,,,
00:08.4,,,
00:08.4,,,
00:08.4,,,
00:08.5,,,
00:08.5,,,
00:08.5,,,
00:08.6,,,
00:08.6,,,
00:08.6,,,
00:08.7,,,
00:08.7,,,
00:08.7,,,
00:08.8,,,
00:08.8,,,
00:08.8,,,
00:08.9,,,
00:08.9,,,
00:08.9,,,
00:09.0,,,
00:09.0,,,
00:09.0,,,
00:09.1,,,
00:09.1,,,
00:09.1,,,
00:09.2,,,
00:09.2,,,
00:09.2,,,
00:09.3,,,
00:09.3,,,
00:09.3,,,
00:09.4,,,
00:09.4,,,
00:09.4,,,
00:09.5,,,
00:09.5,,,
00:09.5,,,
00:09.6,,,
00:09.6,,,
00:09.6,,,
00:09.7,,,
00:09.7,,,
00:09.7,,,
00:09.8,,,
00:09.8,,,
00:09.8,,,
00:09.9,,,
00:09.9,,,
00:09.9,,,
00:10.0,,,
00:10.0,,,
00:10.0,,,
00:10.1,,,
00:10.1,,,
00:10.1,,,
00:10.2,,,
00:10.2,,,
00:10.2,,,
00:10.3,,,
00:10.3,,,
00:10.3,,,
00:10.4,,,
00:10.4,,,
00:10.4,,,
00:10.5,,,
